Food_ID,Food_Name,Category,Calories,Price_USD,Meal_Type,Price_Riel,health_label,Calorie_Level,Price_Level,Health_Label
1,Amok,Main Dish,385.0,3.75,Lunch/Dinner,15000,Normal,Medium,Expensive,Normal
2,Kuy Teav,Noodles,800.0,2.5,Breakfast,10000,High Calorie,High,Medium,High Calorie
3,Nom Banh Chok,Noodles,440.0,1.5,Breakfast,6000,Normal,Medium,Medium,Normal
4,Samlar Machu Kroeung,Main Dish,406.0,2.0,Lunch/Dinner,8000,Normal,Medium,Medium,Normal
5,Kampot pepper crab,Main Dish,270.0,4.0,Lunch/Dinner,16000,Normal,Low,Expensive,Normal
6,Lap Khmer,Main Dish,300.0,2.5,Lunch/Dinner,10000,Normal,Medium,Medium,Normal
7,Pleah sach ko,Main Dish,250.0,2.5,Lunch/Dinner,10000,Normal,Low,Medium,Normal
8,Samlar Kari,Main Dish,500.0,2.0,Lunch/Dinner,8000,Normal,Medium,Medium,Normal
10,Lok lak,Main Dish,470.0,2.0,Lunch/Dinner,8000,Normal,Medium,Medium,Normal
11,Samlar Kako,Main Dish,267.0,2.5,Lunch/Dinner,10000,Normal,Low,Medium,Normal
12,Samlar Proher,Main Dish,254.0,1.5,Lunch/Dinner,6000,Normal,Low,Medium,Normal
13,Bai Sach Chrouk,Rice,500.0,2.0,Breakfast,8000,Normal,Medium,Medium,Normal
14,Lort Cha,Snack,720.0,2.0,Lunch,8000,High Calorie,High,Medium,High Calorie
15,Kaw Sach Chrouk,Main Dish,710.0,1.5,Lunch/Dinner,6000,High Calorie,High,Medium,High Calorie
16,Boiled Egg,Protein ,70.0,0.25,Breakfast,1000,Normal,Low,Cheap,Normal
17,Fried Egg,Protein ,100.0,0.25,Breakfast,1000,Normal,Low,Cheap,Normal
18,Bobor,Soup,380.0,1.5,Breakfast,6000,Normal,Medium,Medium,Normal
19,Samlar machu sleuk ampil,Soup,221.0,1.5,Lunch/Dinner,6000,Healthy,Low,Medium,Healthy
20,Fried Fish,Protein ,230.0,1.0,Lunch/Dinner,4000,Normal,Low,Cheap,Normal
21,Sngor Chrouk Trey,Main Dish,150.0,1.5,Lunch/Dinner,6000,Normal,Low,Medium,Normal
22,Sngor Chrouk Moan,Main Dish,200.0,1.5,Lunch/Dinner,6000,Normal,Low,Medium,Normal
23,Sngor Chrouk Beef,Main Dish,250.0,1.5,Lunch/Dinner,6000,Normal,Low,Medium,Normal
24,Cha Kh'nhei,Main Dish,425.0,1.5,Lunch/Dinner,6000,Normal,Medium,Medium,Normal
25,Cha Kdav Chicken,Main Dish,490.0,2.0,Lunch/Dinner,8000,Normal,Medium,Medium,Normal
26,Cha Kroeung Sach Moan,Main Dish,500.0,2.0,Lunch/Dinner,8000,Normal,Medium,Medium,Normal
27,Samlar Chap chay,Main Dish,300.0,2.0,Lunch/Dinner,8000,Normal,Medium,Medium,Normal
28,Sugercane Juice,Drink,215.0,0.75,Lunch,3000,Healthy,Low,Cheap,Healthy
29,Orange Juice,Drink,110.0,1.0,Lunch,4000,Healthy,Low,Cheap,Healthy
30,Coconut water,Drink,45.0,0.75,Lunch,3000,Healthy,Low,Cheap,Healthy
31,Suger Palm Juice,Drink,54.0,0.5,Lunch,2000,Healthy,Low,Cheap,Healthy
32,Iced Lemon Tea,Drink,70.0,0.75,Lunch,3000,Healthy,Low,Cheap,Healthy
33,Watermelon Juice,Drink,70.0,1.0,Lunch/Dinner,4000,Healthy,Low,Cheap,Healthy
